employee_id,name,department,job_role,matched_skills,missing_skills,total_required_skills,total_matched_skills,missing_skills_count,skill_gap_percentage,readiness_score
232186,Riya Lad,Marketing,Content Strategist,Content Auditing; Copywriting; Information Architecture; User Research,Seo,5,4,1,20.0,80.0
232245,Eva Bhavsar,Finance,Financial Analyst,Power Bi; Sql; Valuation,Excel; Financial Modeling; Forecasting,6,3,3,50.0,50.0
232269,Riaan Chacko,HR,Employee Relations,Employment Law; Investigation; Mediation,Conflict Resolution; Hr Policies,5,3,2,40.0,60.0
232329,Reyansh Yohannan,HR,HR Manager,Employee Relations; Labor Law; Leadership; Talent Acquisition,Hris; Performance Management,6,4,2,33.33,66.67
232350,Mishti Sinha,HR,Recruitment Specialist,Interviewing; Salary Negotiation; Technical Sourcing,Ats; Employer Branding,5,3,2,40.0,60.0
232946,Farhan Agate,Finance,Auditor,Financial Analysis; Internal Auditing; Risk Assessment,Compliance; Excel; Forensic Accounting,6,3,3,50.0,50.0
232977,Zain Kalla,Sales,Sales Executive,B2B Sales; Contract Closing; Lead Generation; Negotiation,Communication; Crm,6,4,2,33.33,66.67
233059,Jayesh Kara,Finance,Accountant,Erp Systems; Excel; Financial Accounting; Quickbooks; Tax Compliance,Auditing,6,5,1,16.67,83.33
233089,Jivin Khare,Sales,Sales Executive,B2B Sales; Communication; Contract Closing; Crm,Lead Generation; Negotiation,6,4,2,33.33,66.67
233411,Tarini Khatri,HR,Recruitment Specialist,Ats; Salary Negotiation; Technical Sourcing,Employer Branding; Interviewing,5,3,2,40.0,60.0
233654,Ryan Vora,IT,Software Engineer,Ci/Cd; Data Structures; Git; Java; Kubernetes; Python,Docker,7,6,1,14.29,85.71
233714,Drishya Aurora,Sales,Sales Executive,B2B Sales; Communication; Contract Closing; Crm; Negotiation,Lead Generation,6,5,1,16.67,83.33
233858,Badal Sinha,IT,Cybersecurity Specialist,Cryptography; Network Security; Penetration Testing; Python,Incident Response; Siem,6,4,2,33.33,66.67
233933,Zeeshan Banerjee,HR,HR Manager,Labor Law; Leadership; Performance Management,Employee Relations; Hris; Talent Acquisition,6,3,3,50.0,50.0
234781,Sana Chakrabarti,Marketing,Marketing Executive,Campaign Management; Google Analytics; Seo,Content Marketing; Digital Marketing,5,3,2,40.0,60.0
234804,Seher Kala,HR,Employee Relations,Employment Law; Hr Policies; Mediation,Conflict Resolution; Investigation,5,3,2,40.0,60.0
235296,Gatik Boase,IT,Software Engineer,Ci/Cd; Data Structures; Docker; Git,Java; Kubernetes; Python,7,4,3,42.86,57.14
235575,Shayak Konda,HR,Recruitment Specialist,Interviewing; Technical Sourcing,Ats; Employer Branding; Salary Negotiation,5,2,3,60.0,40.0
235703,Rasha Kothari,IT,Software Engineer,Data Structures; Docker; Git; Java; Kubernetes; Python,Ci/Cd,7,6,1,14.29,85.71
235704,Zain Gill,HR,Employee Relations,Conflict Resolution; Hr Policies,Employment Law; Investigation; Mediation,5,2,3,60.0,40.0
235762,Veer Shah,HR,HR Manager,Employee Relations; Hris; Labor Law; Leadership; Performance Management,Talent Acquisition,6,5,1,16.67,83.33
235934,Ivan Sami,HR,Recruitment Specialist,Ats; Employer Branding; Interviewing; Technical Sourcing,Salary Negotiation,5,4,1,20.0,80.0
236093,Tejas Goswami,Sales,Sales Executive,B2B Sales; Communication; Contract Closing; Lead Generation; Negotiation,Crm,6,5,1,16.67,83.33
236238,Myra Ganesh,Finance,Financial Analyst,Excel; Financial Modeling; Forecasting; Sql,Power Bi; Valuation,6,4,2,33.33,66.67
236373,Stuvan Gulati,IT,Cybersecurity Specialist,Cryptography; Incident Response; Network Security,Penetration Testing; Python; Siem,6,3,3,50.0,50.0
236487,Romil Choudhury,Marketing,Content Strategist,Content Auditing; Copywriting; Information Architecture; User Research,Seo,5,4,1,20.0,80.0
236512,Dhanush Tiwari,Sales,Business Development,Crm; Pipeline Management; Strategic Pitching,Market Research; Partnership Development,5,3,2,40.0,60.0
236702,Tara Randhawa,Finance,Accountant,Erp Systems; Financial Accounting; Quickbooks; Tax Compliance,Auditing; Excel,6,4,2,33.33,66.67
236930,Arnav Sarma,HR,Employee Relations,Conflict Resolution; Employment Law; Investigation; Mediation,Hr Policies,5,4,1,20.0,80.0
237189,Ehsaan Mallick,IT,Data Analyst,Excel; Power Bi; Statistical Analysis; Tableau,Python; Sql,6,4,2,33.33,66.67
237322,Dishani Yadav,Finance,Financial Analyst,Excel; Financial Modeling; Forecasting; Power Bi; Sql,Valuation,6,5,1,16.67,83.33
237379,Kaira Bala,Finance,Accountant,Auditing; Erp Systems; Excel; Tax Compliance,Financial Accounting; Quickbooks,6,4,2,33.33,66.67
237392,Eshani Chacko,Sales,Business Development,Partnership Development; Pipeline Management; Strategic Pitching,Crm; Market Research,5,3,2,40.0,60.0
237549,Shalv Kunda,HR,HR Manager,Employee Relations; Hris; Performance Management,Labor Law; Leadership; Talent Acquisition,6,3,3,50.0,50.0
238037,Shaan Shetty,Marketing,Marketing Executive,Digital Marketing; Google Analytics; Seo,Campaign Management; Content Marketing,5,3,2,40.0,60.0
238211,Jayesh Krish,IT,Cybersecurity Specialist,Cryptography; Incident Response; Network Security; Python; Siem,Penetration Testing,6,5,1,16.67,83.33
238458,Farhan Chandran,Finance,Financial Analyst,Excel; Forecasting; Sql,Financial Modeling; Power Bi; Valuation,6,3,3,50.0,50.0
239159,Nirvi Sengupta,Sales,Account Manager,Account Planning; Client Retention; Contract Negotiation,Crm (Salesforce); Upselling,5,3,2,40.0,60.0
239240,Oorja Samra,Marketing,Marketing Executive,Campaign Management; Content Marketing; Google Analytics; Seo,Digital Marketing,5,4,1,20.0,80.0
239365,Siya Kamdar,Sales,Business Development,Crm; Market Research; Pipeline Management; Strategic Pitching,Partnership Development,5,4,1,20.0,80.0
239737,Raunak Shere,Finance,Auditor,Compliance; Excel; Financial Analysis; Forensic Accounting; Risk Assessment,Internal Auditing,6,5,1,16.67,83.33
239763,Zeeshan Goda,Finance,Financial Analyst,Excel; Forecasting; Sql; Valuation,Financial Modeling; Power Bi,6,4,2,33.33,66.67
239865,Mehul Ganguly,Marketing,SEO Specialist,Backlink Strategy; Google Analytics; Html / Css Basics; On-Page Seo,Content Optimization,5,4,1,20.0,80.0
239972,Samaira Ramanathan,IT,Cybersecurity Specialist,Cryptography; Penetration Testing; Python,Incident Response; Network Security; Siem,6,3,3,50.0,50.0
240288,Ojas Joshi,IT,Software Engineer,Docker; Git; Kubernetes; Python,Ci/Cd; Data Structures; Java,7,4,3,42.86,57.14
240501,Nishith Chander,HR,HR Manager,Employee Relations; Labor Law; Leadership; Performance Management,Hris; Talent Acquisition,6,4,2,33.33,66.67
240533,Abram Rajan,IT,Software Engineer,Ci/Cd; Git; Java; Kubernetes; Python,Data Structures; Docker,7,5,2,28.57,71.43
240774,Keya Arora,HR,HR Manager,Hris; Leadership; Performance Management,Employee Relations; Labor Law; Talent Acquisition,6,3,3,50.0,50.0
241428,Kismat Rattan,Sales,Business Development,Crm; Market Research; Partnership Development; Strategic Pitching,Pipeline Management,5,4,1,20.0,80.0
241844,Aarush Anand,HR,Employee Relations,Employment Law; Hr Policies; Investigation; Mediation,Conflict Resolution,5,4,1,20.0,80.0
242190,Yuvraj  Aggarwal,HR,HR Manager,Employee Relations; Hris; Performance Management; Talent Acquisition,Labor Law; Leadership,6,4,2,33.33,66.67
242212,Divyansh Sekhon,HR,Recruitment Specialist,Ats; Interviewing; Salary Negotiation; Technical Sourcing,Employer Branding,5,4,1,20.0,80.0
242372,Navya Tara,Marketing,SEO Specialist,Content Optimization; Google Analytics; Html / Css Basics; On-Page Seo,Backlink Strategy,5,4,1,20.0,80.0
242466,Pari Sane,IT,Cybersecurity Specialist,Incident Response; Network Security; Penetration Testing; Python; Siem,Cryptography,6,5,1,16.67,83.33
242841,Drishya Upadhyay,Marketing,Content Strategist,Content Auditing; Copywriting; Information Architecture; User Research,Seo,5,4,1,20.0,80.0
242915,Tanya Sane,Marketing,Marketing Executive,Campaign Management; Content Marketing; Digital Marketing; Seo,Google Analytics,5,4,1,20.0,80.0
242992,Fateh Venkatesh,IT,Cybersecurity Specialist,Network Security; Penetration Testing; Siem,Cryptography; Incident Response; Python,6,3,3,50.0,50.0
243592,Pari Sami,IT,Software Engineer,Ci/Cd; Git; Kubernetes; Python,Data Structures; Docker; Java,7,4,3,42.86,57.14
243622,Eva Talwar,HR,Recruitment Specialist,Ats; Interviewing; Salary Negotiation; Technical Sourcing,Employer Branding,5,4,1,20.0,80.0
243690,Vritika Sibal,Marketing,Marketing Executive,Campaign Management; Digital Marketing; Google Analytics,Content Marketing; Seo,5,3,2,40.0,60.0
243721,Inaaya  Chaudhari,Marketing,SEO Specialist,Backlink Strategy; Content Optimization; On-Page Seo,Google Analytics; Html / Css Basics,5,3,2,40.0,60.0
243975,Tejas Chandran,Marketing,Marketing Executive,Campaign Management; Content Marketing; Seo,Digital Marketing; Google Analytics,5,3,2,40.0,60.0
244588,Kimaya Datta,IT,Data Analyst,Excel; Power Bi; Python; Sql; Statistical Analysis,Tableau,6,5,1,16.67,83.33
245086,Hunar Brar,IT,Cybersecurity Specialist,Cryptography; Network Security; Penetration Testing; Python; Siem,Incident Response,6,5,1,16.67,83.33
245187,Bhavin Kapur,Marketing,Content Strategist,Content Auditing; Copywriting; Information Architecture,Seo; User Research,5,3,2,40.0,60.0
245396,Jiya Wali,IT,Data Analyst,Power Bi; Python; Sql; Tableau,Excel; Statistical Analysis,6,4,2,33.33,66.67
245504,Kanav Sachar,IT,Data Analyst,Excel; Python; Statistical Analysis,Power Bi; Sql; Tableau,6,3,3,50.0,50.0
245783,Vihaan Subramaniam,HR,HR Manager,Employee Relations; Hris; Labor Law; Talent Acquisition,Leadership; Performance Management,6,4,2,33.33,66.67
245924,Dhanush Rastogi,Sales,Sales Executive,B2B Sales; Communication; Contract Closing,Crm; Lead Generation; Negotiation,6,3,3,50.0,50.0
246294,Rhea Sarma,Marketing,Marketing Executive,Campaign Management; Content Marketing; Google Analytics; Seo,Digital Marketing,5,4,1,20.0,80.0
246390,Ojas Bir,Sales,Sales Executive,B2B Sales; Communication; Contract Closing; Lead Generation; Negotiation,Crm,6,5,1,16.67,83.33
246470,Riya Dash,HR,Employee Relations,Employment Law; Hr Policies; Investigation; Mediation,Conflict Resolution,5,4,1,20.0,80.0
247250,Alisha Kadakia,IT,Cybersecurity Specialist,Cryptography; Incident Response; Penetration Testing; Siem,Network Security; Python,6,4,2,33.33,66.67
247430,Eva Khanna,IT,Data Analyst,Excel; Power Bi; Statistical Analysis,Python; Sql; Tableau,6,3,3,50.0,50.0
247543,Indrajit Shah,IT,Cybersecurity Specialist,Incident Response; Network Security; Penetration Testing; Siem,Cryptography; Python,6,4,2,33.33,66.67
247900,Aniruddh Grover,Finance,Financial Analyst,Financial Modeling; Power Bi; Sql; Valuation,Excel; Forecasting,6,4,2,33.33,66.67
248037,Stuvan Kapoor,IT,Cybersecurity Specialist,Network Security; Penetration Testing; Python; Siem,Cryptography; Incident Response,6,4,2,33.33,66.67
248169,Amira Sur,IT,Cybersecurity Specialist,Incident Response; Network Security; Penetration Testing; Python; Siem,Cryptography,6,5,1,16.67,83.33
248278,Kismat Grover,Marketing,Marketing Executive,Content Marketing; Digital Marketing; Google Analytics; Seo,Campaign Management,5,4,1,20.0,80.0
248305,Anahita Kala,Marketing,Content Strategist,Content Auditing; Copywriting; User Research,Information Architecture; Seo,5,3,2,40.0,60.0
248692,Inaaya  Luthra,HR,Employee Relations,Conflict Resolution; Hr Policies,Employment Law; Investigation; Mediation,5,2,3,60.0,40.0
248820,Amani Swamy,Marketing,Marketing Executive,Content Marketing; Digital Marketing; Seo,Campaign Management; Google Analytics,5,3,2,40.0,60.0
249029,Vardaniya Chada,Sales,Business Development,Crm; Market Research; Strategic Pitching,Partnership Development; Pipeline Management,5,3,2,40.0,60.0
249172,Raunak Goda,IT,Software Engineer,Ci/Cd; Data Structures; Docker; Git; Java; Python,Kubernetes,7,6,1,14.29,85.71
249463,Darshit Shah,IT,Data Analyst,Excel; Python; Statistical Analysis; Tableau,Power Bi; Sql,6,4,2,33.33,66.67
249512,Saanvi Aggarwal,HR,HR Manager,Employee Relations; Leadership; Performance Management; Talent Acquisition,Hris; Labor Law,6,4,2,33.33,66.67
249848,Mamooty Bansal,HR,HR Manager,Employee Relations; Hris; Leadership; Performance Management; Talent Acquisition,Labor Law,6,5,1,16.67,83.33
250239,Zara Roy,Finance,Accountant,Auditing; Erp Systems; Excel; Financial Accounting; Tax Compliance,Quickbooks,6,5,1,16.67,83.33
250490,Alia Varty,Sales,Business Development,Crm; Market Research; Partnership Development; Pipeline Management,Strategic Pitching,5,4,1,20.0,80.0
250513,Vihaan Dey,HR,HR Manager,Hris; Labor Law; Leadership; Performance Management; Talent Acquisition,Employee Relations,6,5,1,16.67,83.33
250973,Aradhya Ganguly,IT,Cybersecurity Specialist,Cryptography; Network Security; Python; Siem,Incident Response; Penetration Testing,6,4,2,33.33,66.67
251009,Eva Zacharia,IT,Data Analyst,Power Bi; Python; Sql; Statistical Analysis; Tableau,Excel,6,5,1,16.67,83.33
251209,Mannat Bakshi,Finance,Financial Analyst,Excel; Financial Modeling; Valuation,Forecasting; Power Bi; Sql,6,3,3,50.0,50.0
251222,Nirvaan Sani,HR,Employee Relations,Conflict Resolution; Employment Law; Investigation; Mediation,Hr Policies,5,4,1,20.0,80.0
251623,Kartik Venkataraman,Marketing,SEO Specialist,Backlink Strategy; Content Optimization; On-Page Seo,Google Analytics; Html / Css Basics,5,3,2,40.0,60.0
251680,Veer Ghose,Sales,Business Development,Market Research; Partnership Development; Pipeline Management,Crm; Strategic Pitching,5,3,2,40.0,60.0
251693,Riaan Sachdev,HR,HR Manager,Employee Relations; Hris; Leadership,Labor Law; Performance Management; Talent Acquisition,6,3,3,50.0,50.0
252553,Hazel Gandhi,Finance,Auditor,Compliance; Excel; Financial Analysis; Risk Assessment,Forensic Accounting; Internal Auditing,6,4,2,33.33,66.67
252844,Vedika Deshpande,IT,Software Engineer,Data Structures; Docker; Git; Java; Kubernetes; Python,Ci/Cd,7,6,1,14.29,85.71
252870,Mishti Acharya,Finance,Accountant,Erp Systems; Excel; Financial Accounting; Tax Compliance,Auditing; Quickbooks,6,4,2,33.33,66.67
253148,Jayan Soman,HR,Employee Relations,Conflict Resolution; Hr Policies; Investigation; Mediation,Employment Law,5,4,1,20.0,80.0
253416,Khushi Kurian,IT,Software Engineer,Ci/Cd; Data Structures; Docker; Java; Kubernetes,Git; Python,7,5,2,28.57,71.43
253583,Nitara Kala,Sales,Sales Executive,B2B Sales; Contract Closing; Crm; Lead Generation,Communication; Negotiation,6,4,2,33.33,66.67
253805,Damini Chadha,Marketing,SEO Specialist,Content Optimization; Html / Css Basics; On-Page Seo,Backlink Strategy; Google Analytics,5,3,2,40.0,60.0
253947,Darshit Chaudhry,Sales,Sales Executive,B2B Sales; Communication; Contract Closing; Lead Generation; Negotiation,Crm,6,5,1,16.67,83.33
254095,Jayan Rajan,IT,Data Analyst,Excel; Power Bi; Python; Sql,Statistical Analysis; Tableau,6,4,2,33.33,66.67
254181,Ishita Handa,Marketing,Content Strategist,Copywriting; Information Architecture; Seo; User Research,Content Auditing,5,4,1,20.0,80.0
254257,Advika Thakkar,Sales,Business Development,Crm; Partnership Development; Pipeline Management; Strategic Pitching,Market Research,5,4,1,20.0,80.0
254337,Pranay Shukla,Marketing,Marketing Executive,Campaign Management; Content Marketing; Google Analytics; Seo,Digital Marketing,5,4,1,20.0,80.0
254394,Lagan Balan,IT,Cybersecurity Specialist,Cryptography; Incident Response; Penetration Testing; Python; Siem,Network Security,6,5,1,16.67,83.33
254544,Rati Loke,Sales,Account Manager,Account Planning; Client Retention; Crm (Salesforce); Upselling,Contract Negotiation,5,4,1,20.0,80.0
255134,Aarav Doshi,Sales,Sales Executive,B2B Sales; Communication; Crm; Lead Generation,Contract Closing; Negotiation,6,4,2,33.33,66.67
255161,Saanvi Borra,Sales,Business Development,Crm; Partnership Development; Pipeline Management,Market Research; Strategic Pitching,5,3,2,40.0,60.0
255208,Sumer Kothari,Finance,Financial Analyst,Forecasting; Power Bi; Sql; Valuation,Excel; Financial Modeling,6,4,2,33.33,66.67
255426,Yashvi Handa,IT,Software Engineer,Data Structures; Docker; Git; Kubernetes,Ci/Cd; Java; Python,7,4,3,42.86,57.14
255458,Bhamini Chand,Marketing,Content Strategist,Copywriting; Information Architecture; Seo,Content Auditing; User Research,5,3,2,40.0,60.0
255488,Romil Bhatnagar,IT,Cybersecurity Specialist,Cryptography; Incident Response; Penetration Testing,Network Security; Python; Siem,6,3,3,50.0,50.0
255648,Oorja Khalsa,IT,Cybersecurity Specialist,Cryptography; Incident Response; Network Security; Penetration Testing,Python; Siem,6,4,2,33.33,66.67
256154,Amira Rajan,Sales,Business Development,Market Research; Partnership Development; Pipeline Management; Strategic Pitching,Crm,5,4,1,20.0,80.0
256422,Adira Chandran,Finance,Auditor,Compliance; Excel; Financial Analysis; Forensic Accounting,Internal Auditing; Risk Assessment,6,4,2,33.33,66.67
256638,Yashvi Mangat,HR,Employee Relations,Conflict Resolution; Hr Policies; Mediation,Employment Law; Investigation,5,3,2,40.0,60.0
257068,Adah Kumer,Marketing,Content Strategist,Content Auditing; Copywriting; Information Architecture; Seo,User Research,5,4,1,20.0,80.0
257073,Saanvi Apte,IT,Data Analyst,Python; Statistical Analysis; Tableau,Excel; Power Bi; Sql,6,3,3,50.0,50.0
257403,Heer Ram,HR,Recruitment Specialist,Ats; Salary Negotiation,Employer Branding; Interviewing; Technical Sourcing,5,2,3,60.0,40.0
257706,Sana Chaudhari,HR,HR Manager,Employee Relations; Leadership; Performance Management; Talent Acquisition,Hris; Labor Law,6,4,2,33.33,66.67
257807,Abram Din,Marketing,Marketing Executive,Campaign Management; Digital Marketing; Google Analytics; Seo,Content Marketing,5,4,1,20.0,80.0
258361,Tanya Buch,HR,Employee Relations,Conflict Resolution; Employment Law; Hr Policies; Investigation,Mediation,5,4,1,20.0,80.0
258496,Romil Suresh,Finance,Accountant,Erp Systems; Excel; Tax Compliance,Auditing; Financial Accounting; Quickbooks,6,3,3,50.0,50.0
258563,Hazel Rao,Marketing,Marketing Executive,Campaign Management; Content Marketing; Digital Marketing; Google Analytics,Seo,5,4,1,20.0,80.0
258663,Mamooty Srinivas,Finance,Financial Analyst,Excel; Financial Modeling; Forecasting; Power Bi; Valuation,Sql,6,5,1,16.67,83.33
258946,Amani Sundaram,HR,Employee Relations,Conflict Resolution; Investigation; Mediation,Employment Law; Hr Policies,5,3,2,40.0,60.0
259100,Nakul Chakraborty,IT,Data Analyst,Power Bi; Sql; Statistical Analysis; Tableau,Excel; Python,6,4,2,33.33,66.67
259747,Riaan Baria,Marketing,SEO Specialist,Content Optimization; Google Analytics; Html / Css Basics,Backlink Strategy; On-Page Seo,5,3,2,40.0,60.0
259811,Inaaya  Mahajan,Marketing,Marketing Executive,Digital Marketing; Google Analytics; Seo,Campaign Management; Content Marketing,5,3,2,40.0,60.0
260061,Indrans Dara,Sales,Sales Executive,B2B Sales; Communication; Contract Closing; Lead Generation; Negotiation,Crm,6,5,1,16.67,83.33
260608,Eva Gade,Marketing,SEO Specialist,Content Optimization; Google Analytics; Html / Css Basics,Backlink Strategy; On-Page Seo,5,3,2,40.0,60.0
260624,Samar Bhatnagar,Finance,Financial Analyst,Financial Modeling; Power Bi; Sql; Valuation,Excel; Forecasting,6,4,2,33.33,66.67
260701,Lakshit Kar,Finance,Accountant,Erp Systems; Excel; Financial Accounting; Quickbooks; Tax Compliance,Auditing,6,5,1,16.67,83.33
260881,Vaibhav Sem,IT,Cybersecurity Specialist,Cryptography; Incident Response; Penetration Testing; Python,Network Security; Siem,6,4,2,33.33,66.67
260922,Myra Jaggi,Marketing,Content Strategist,Content Auditing; Information Architecture; Seo,Copywriting; User Research,5,3,2,40.0,60.0
261476,Zara Bahri,Marketing,SEO Specialist,Backlink Strategy; Content Optimization; Google Analytics; On-Page Seo,Html / Css Basics,5,4,1,20.0,80.0
261584,Shalv Grewal,Sales,Sales Executive,Communication; Contract Closing; Crm; Lead Generation,B2B Sales; Negotiation,6,4,2,33.33,66.67
261647,Hiran Kalla,IT,Software Engineer,Docker; Java; Kubernetes; Python,Ci/Cd; Data Structures; Git,7,4,3,42.86,57.14
261701,Samarth Bansal,HR,HR Manager,Employee Relations; Hris; Labor Law; Performance Management; Talent Acquisition,Leadership,6,5,1,16.67,83.33
262147,Zain Sampath,Marketing,Content Strategist,Content Auditing; Copywriting; Information Architecture; Seo,User Research,5,4,1,20.0,80.0
262429,Amira Khurana,Sales,Account Manager,Client Retention; Contract Negotiation; Crm (Salesforce); Upselling,Account Planning,5,4,1,20.0,80.0
262442,Divyansh Chandran,HR,Recruitment Specialist,Ats; Interviewing; Salary Negotiation,Employer Branding; Technical Sourcing,5,3,2,40.0,60.0
262598,Manikya Shetty,Marketing,Marketing Executive,Content Marketing; Digital Marketing; Google Analytics; Seo,Campaign Management,5,4,1,20.0,80.0
262682,Saira Kurian,IT,Software Engineer,Ci/Cd; Data Structures; Docker; Java; Kubernetes; Python,Git,7,6,1,14.29,85.71
262728,Ayesha Kumar,Sales,Sales Executive,Communication; Contract Closing; Lead Generation; Negotiation,B2B Sales; Crm,6,4,2,33.33,66.67
262841,Armaan Guha,Marketing,Content Strategist,Content Auditing; Copywriting; Information Architecture; User Research,Seo,5,4,1,20.0,80.0
263373,Badal Mangat,IT,Software Engineer,Ci/Cd; Data Structures; Git; Java; Python,Docker; Kubernetes,7,5,2,28.57,71.43
263461,Rasha Dada,Finance,Auditor,Compliance; Excel; Financial Analysis; Internal Auditing; Risk Assessment,Forensic Accounting,6,5,1,16.67,83.33
263674,Rhea Bhavsar,Marketing,Content Strategist,Content Auditing; Copywriting; Information Architecture; User Research,Seo,5,4,1,20.0,80.0
263697,Vedika Ahluwalia,Finance,Financial Analyst,Excel; Power Bi; Sql,Financial Modeling; Forecasting; Valuation,6,3,3,50.0,50.0
264228,Aarav Kapur,IT,Cybersecurity Specialist,Cryptography; Incident Response; Network Security; Siem,Penetration Testing; Python,6,4,2,33.33,66.67
264232,Oorja Varma,Marketing,Content Strategist,Content Auditing; Seo; User Research,Copywriting; Information Architecture,5,3,2,40.0,60.0
264382,Rasha Dugar,Finance,Auditor,Excel; Forensic Accounting; Internal Auditing; Risk Assessment,Compliance; Financial Analysis,6,4,2,33.33,66.67
264411,Aaryahi Guha,IT,Software Engineer,Data Structures; Git; Java; Kubernetes,Ci/Cd; Docker; Python,7,4,3,42.86,57.14
264862,Aayush Swaminathan,IT,Cybersecurity Specialist,Cryptography; Incident Response; Network Security; Python; Siem,Penetration Testing,6,5,1,16.67,83.33
265214,Shaan Mandal,Finance,Financial Analyst,Excel; Financial Modeling; Forecasting; Power Bi; Valuation,Sql,6,5,1,16.67,83.33
265320,Prisha Vig,Marketing,Content Strategist,Content Auditing; Copywriting; Seo; User Research,Information Architecture,5,4,1,20.0,80.0
265525,Misha Dixit,Marketing,Marketing Executive,Campaign Management; Digital Marketing; Seo,Content Marketing; Google Analytics,5,3,2,40.0,60.0
266354,Prerak Kara,Sales,Sales Executive,B2B Sales; Communication; Crm; Lead Generation; Negotiation,Contract Closing,6,5,1,16.67,83.33
266424,Tiya Dugar,Sales,Sales Executive,Communication; Contract Closing; Crm,B2B Sales; Lead Generation; Negotiation,6,3,3,50.0,50.0
266462,Vivaan Goyal,IT,Data Analyst,Excel; Python; Sql; Statistical Analysis; Tableau,Power Bi,6,5,1,16.67,83.33
266584,Nirvaan Shan,HR,Employee Relations,Employment Law; Hr Policies,Conflict Resolution; Investigation; Mediation,5,2,3,60.0,40.0
266688,Riya Mand,Sales,Account Manager,Client Retention; Contract Negotiation; Crm (Salesforce); Upselling,Account Planning,5,4,1,20.0,80.0
266915,Ishaan Sastry,Finance,Auditor,Excel; Financial Analysis; Forensic Accounting; Internal Auditing,Compliance; Risk Assessment,6,4,2,33.33,66.67
266926,Miraya Kapadia,HR,Employee Relations,Conflict Resolution; Employment Law; Hr Policies; Mediation,Investigation,5,4,1,20.0,80.0
267158,Dhruv Bhakta,Marketing,Marketing Executive,Campaign Management; Digital Marketing; Seo,Content Marketing; Google Analytics,5,3,2,40.0,60.0
267253,Purab Kibe,HR,Employee Relations,Conflict Resolution; Employment Law; Investigation; Mediation,Hr Policies,5,4,1,20.0,80.0
267354,Divyansh Mane,Marketing,Content Strategist,Information Architecture; Seo; User Research,Content Auditing; Copywriting,5,3,2,40.0,60.0
267605,Hrishita Lad,HR,Employee Relations,Conflict Resolution; Hr Policies; Investigation,Employment Law; Mediation,5,3,2,40.0,60.0
267795,Rhea Ghose,Finance,Accountant,Erp Systems; Financial Accounting; Quickbooks; Tax Compliance,Auditing; Excel,6,4,2,33.33,66.67
267851,Hunar Bhattacharyya,Finance,Accountant,Erp Systems; Excel; Financial Accounting; Tax Compliance,Auditing; Quickbooks,6,4,2,33.33,66.67
267932,Aaryahi Loyal,HR,Employee Relations,Employment Law; Investigation; Mediation,Conflict Resolution; Hr Policies,5,3,2,40.0,60.0
268009,Manikya Bandi,Sales,Business Development,Crm; Market Research; Partnership Development,Pipeline Management; Strategic Pitching,5,3,2,40.0,60.0
268043,Aaina Swaminathan,Finance,Financial Analyst,Forecasting; Power Bi; Sql; Valuation,Excel; Financial Modeling,6,4,2,33.33,66.67
268051,Kiaan Agate,IT,Cybersecurity Specialist,Cryptography; Network Security; Penetration Testing,Incident Response; Python; Siem,6,3,3,50.0,50.0
268088,Mohanlal Sheth,IT,Cybersecurity Specialist,Cryptography; Incident Response; Network Security; Penetration Testing; Python,Siem,6,5,1,16.67,83.33
268102,Navya Virk,IT,Cybersecurity Specialist,Incident Response; Penetration Testing; Python; Siem,Cryptography; Network Security,6,4,2,33.33,66.67
268203,Aayush Sampath,Sales,Business Development,Crm; Partnership Development; Pipeline Management; Strategic Pitching,Market Research,5,4,1,20.0,80.0
268350,Zara Anand,Sales,Business Development,Market Research; Partnership Development; Pipeline Management,Crm; Strategic Pitching,5,3,2,40.0,60.0
268409,Tushar Jayaraman,IT,Software Engineer,Data Structures; Git; Java; Kubernetes; Python,Ci/Cd; Docker,7,5,2,28.57,71.43
268419,Ayesha Wali,Sales,Sales Executive,B2B Sales; Communication; Crm,Contract Closing; Lead Generation; Negotiation,6,3,3,50.0,50.0
268455,Elakshi Chandra,Finance,Financial Analyst,Forecasting; Power Bi; Sql; Valuation,Excel; Financial Modeling,6,4,2,33.33,66.67
268753,Jayesh Comar,HR,Employee Relations,Conflict Resolution; Employment Law; Investigation,Hr Policies; Mediation,5,3,2,40.0,60.0
268830,Emir Swaminathan,HR,Recruitment Specialist,Ats; Employer Branding; Salary Negotiation; Technical Sourcing,Interviewing,5,4,1,20.0,80.0
269172,Ritvik Amble,IT,Cybersecurity Specialist,Cryptography; Incident Response; Network Security; Python; Siem,Penetration Testing,6,5,1,16.67,83.33
269236,Lavanya Samra,IT,Data Analyst,Power Bi; Python; Sql; Statistical Analysis; Tableau,Excel,6,5,1,16.67,83.33
269255,Pari Sastry,IT,Data Analyst,Excel; Python; Statistical Analysis,Power Bi; Sql; Tableau,6,3,3,50.0,50.0
269372,Bhavin Taneja,HR,Employee Relations,Conflict Resolution; Employment Law; Hr Policies; Mediation,Investigation,5,4,1,20.0,80.0
269464,Eshani Bora,Finance,Financial Analyst,Excel; Forecasting; Power Bi; Valuation,Financial Modeling; Sql,6,4,2,33.33,66.67
269477,Krish Bhavsar,Marketing,Marketing Executive,Campaign Management; Content Marketing; Digital Marketing; Seo,Google Analytics,5,4,1,20.0,80.0
